"Story","Title","Result","Date","Stability","Duration (s)"
"Crear y Buscar Pedidos de PetStore","Realizar un Pedido //POST","SUCCESS","2024-08-26T00:51:55.432-05:00[America/Bogota]","0.0","6.79"
"Crear y Buscar Pedidos de PetStore","Buscar Pedido //GET","SUCCESS","2024-08-26T00:52:02.225-05:00[America/Bogota]","0.0","3.36"
